Prey;WT_NC;WT_S;WT_FCS;G12_NC;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
B4DY09;0;0;0;0;0;0;0;0;0;0;0;0
Q8NBY1;0;0;0;0;0;0;0;0;0;0;0;0
J3QQL5;0;0;0;0;0;0;0;0;0;0;0;0
B5MBZ0;0;0;0;0;0;0;0;0;0;0;0;0
P16422;0;0;0;0;0;0;0;0;0;0;0;0
B5MCF9;0;0;0;0;0;0;0;0;0;0;0;0
B5MDF5;0;0;0;0;0;0;0;0;0;0;0;0
E9PNX0;0;0;0;0;0;0;0;0;0;0;0;0
H7C2W9;0;0;0;0;0;0;0;0;0;0;0;0
Q9NRC1;0;0;0;0;0;0;0;0;0;0;0;0
B7ZC38;1;1;0;0;1;0;0;1;0;1;1;0
B7ZKQ9;0;0;0;0;0;0;0;0;0;0;1;0
B7ZL14;0;0;0;0;0;0;0;0;0;0;0;0
Q5VT82;0;0;0;0;0;0;0;0;0;0;0;0
B7ZM87;1;1;1;0;1;1;1;1;1;1;1;1
B8ZZG1;0;0;0;0;0;0;0;0;0;0;0;0
B8ZZS4;0;0;0;0;0;0;0;0;0;0;0;0
C9J2I0;0;0;0;0;0;0;0;0;0;0;0;0
B9A067;0;0;0;0;0;0;0;0;0;0;0;0
C9IYT0;0;0;0;0;0;0;0;0;0;0;0;0
C9IZX4;0;0;0;0;0;0;0;0;0;0;0;0
C9J0J7;0;0;0;0;0;0;0;0;0;0;0;0
C9J0K6;0;0;0;0;0;0;0;0;0;0;1;0
P30876;1;1;0;1;1;1;1;1;1;1;1;1
C9J494;0;0;0;0;0;0;0;0;0;0;0;0
C9J5X1;0;1;0;0;1;0;0;1;0;0;1;0
C9J623;0;0;0;0;0;0;0;0;0;0;0;0
C9J7K9;0;1;1;0;1;0;0;0;1;0;1;0
C9JA08;0;0;0;0;0;0;0;0;0;0;0;0
C9JA28;0;0;0;0;0;0;0;0;0;0;0;0
C9JJ19;0;0;0;0;0;0;0;0;0;0;0;0
C9JJX6;0;0;0;0;0;0;0;0;0;0;0;0
C9JKI3;0;0;0;0;0;0;0;0;0;0;0;0
C9JKZ2;0;0;0;0;0;0;0;0;0;0;0;0
C9JXB8;0;0;0;0;0;0;0;0;0;0;0;0
C9JP16;0;0;0;0;0;0;0;0;0;0;0;0
C9JRZ6;0;0;0;0;0;0;0;0;0;0;0;0
C9JYY6;0;0;0;0;0;0;0;0;0;0;0;0
C9JZI1;0;0;0;0;0;0;0;0;0;0;0;0
O60716;1;1;1;1;1;1;1;1;1;1;1;1
C9K025;0;0;0;0;0;0;0;0;0;0;0;0
C9K0J5;0;0;0;0;0;0;0;0;0;0;0;0
D3DQV9;0;0;0;0;0;0;0;0;0;0;0;0
D3YTB5;0;0;0;0;0;0;0;0;0;0;1;0
Q13557-5;0;0;0;0;0;0;0;1;0;0;1;0
D6RBW1;0;0;0;0;0;0;0;0;0;0;0;0
D6RGI3;0;0;0;0;0;0;0;0;0;0;0;0
O94979-8;0;0;0;0;0;0;0;0;0;0;0;0
D6REY2;0;0;0;0;0;0;0;0;0;0;0;0
D6RIE3;0;0;0;0;0;0;0;0;0;0;0;0
D6RHX8;0;0;0;0;0;0;0;0;0;0;0;0
E3W994;0;0;0;0;0;0;0;0;0;0;0;0
E5KLK1;0;0;0;0;0;0;0;0;0;0;0;0
E5RG77;0;0;0;0;0;0;0;0;0;0;0;0
E5RHG8;0;0;0;0;0;0;0;0;0;0;0;0
E5RIP4;0;0;0;0;0;0;0;0;0;0;0;0
E5RIW3;1;0;0;0;0;0;0;0;0;0;0;0
E5RJ29;0;0;0;0;0;0;0;0;0;0;0;0
Q7L5N1;0;0;0;0;0;0;0;0;0;0;0;0
J3QLD9;0;0;0;0;0;0;0;0;0;0;0;0
E7ENZ3;0;0;0;0;0;0;0;0;0;0;0;0
E7ES33;0;1;0;0;1;0;0;1;0;0;1;0
E7EPN9;1;1;1;1;1;1;1;1;1;1;1;1
E7EPV7;0;0;0;0;0;0;0;0;0;0;0;0
P15311;1;1;1;1;1;1;1;1;1;1;1;1
E7EQZ4;0;0;0;0;0;0;0;0;0;0;0;0
E7ERS3;0;0;0;0;0;0;0;0;0;0;0;0
Q05397-5;0;0;0;0;0;0;0;0;0;0;0;0
E7ESJ3;1;1;0;0;1;0;0;0;0;0;1;0
E7ESS2;0;1;0;0;0;0;0;1;0;0;1;0
E7ET15;0;0;0;0;0;0;0;0;0;0;0;0
E7EU96;0;0;0;0;0;0;0;0;0;0;0;0
E7EUU4;0;0;1;0;0;0;0;1;0;0;1;0
E7EVA0;1;1;0;1;1;0;1;1;1;1;1;0
Q07866;0;1;0;0;1;0;1;1;1;1;1;1
E7EVJ5;1;1;1;1;1;1;1;1;1;1;1;1
E7EX17;1;1;1;1;1;1;1;1;1;1;1;1
Q14203-3;0;0;0;0;0;0;0;0;0;0;0;0
E7EXA6;0;0;0;0;0;0;0;0;0;0;0;0
F8VZJ2;0;0;0;0;0;0;0;0;0;0;0;0
E9PBY7;0;0;0;0;0;0;0;0;0;0;0;0
Q7KZI7;0;1;0;0;1;0;0;1;0;0;1;0
E9PCH4;0;0;0;0;0;0;0;0;0;0;0;0
O95757;0;0;0;0;0;0;0;0;0;0;0;0
E9PDF6;0;1;0;0;1;1;1;1;1;1;1;1
E9PDR0;0;0;0;0;0;0;0;0;0;0;0;0
E9PEJ6;0;0;0;0;0;0;0;0;0;0;0;0
E9PEP6;0;1;0;0;0;0;0;0;0;0;0;0
