PreyGene;WT_NC;WT_S;WT_FCS;G12_NC ;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
CDKN2A;0;0;0;0;0;0;0;0;0;0;0;0
CDK5RAP3;0;0;0;0;0;0;0;0;0;0;0;0
MYL12A;0;0;0;0;0;0;1;0;0;0;0;0
ZNF207;0;0;0;0;0;0;0;0;0;0;0;0
YES1;1;1;1;1;1;1;1;1;1;1;1;1
LLGL2;0;0;0;0;0;0;0;0;0;0;0;0
HELZ;0;0;0;0;0;0;0;0;0;0;0;0
TMCO1;0;0;0;0;0;0;0;0;0;0;0;0
LONP1;0;0;0;0;0;0;0;0;0;0;0;0
AP1M1;0;0;0;0;0;0;0;0;0;0;0;0
H3F3B;0;0;0;0;0;0;0;0;0;0;0;0
DAZAP1;0;0;0;0;0;0;0;0;0;0;0;0
RPS15;0;0;0;0;0;0;0;0;0;0;0;0
SYNGR2;0;0;0;0;0;0;0;0;0;0;0;0
RBM42;0;0;0;0;0;0;0;0;0;0;0;0
EIF3K;0;0;0;0;0;0;0;0;0;0;0;0
SARS2;0;0;0;0;0;0;0;0;0;0;0;0
COPE;0;0;0;0;0;0;0;0;0;0;1;0
GRAMD1A;0;0;0;0;0;0;0;0;0;0;0;0
SAMD4B;0;0;0;0;0;0;0;0;0;0;0;0
ARHGEF1;0;0;0;0;0;0;0;0;0;0;0;0
RPS5;0;0;0;0;0;0;0;0;0;0;0;0
RPL18A;0;0;0;0;0;0;0;0;0;0;0;0
POLD1;0;0;0;0;0;0;0;0;0;0;0;0
SHKBP1;1;1;1;1;1;1;1;1;1;1;1;1
SUGP2;0;0;0;0;0;0;0;0;0;0;0;0
KIF2A;1;1;1;1;1;0;1;1;0;1;1;0
PDLIM1;1;1;1;1;1;1;1;1;1;1;1;1
MYO1C;1;0;0;1;0;1;1;0;0;1;0;0
SNAP23;1;1;1;1;1;1;1;1;1;1;1;1
AIP;0;1;0;0;1;0;0;1;0;0;1;0
GTPBP1;0;0;0;0;0;0;0;0;0;0;0;0
